"name_business","url","recommended","username","rating","review_date","review_text","reviewer_location","reviewer_friends","reviewer_reviews","ReviewLength"
"Harvest Bar + Kitchen","https://www.yelp.com/not_recommended_reviews/harvest-bar-kitchen-columbus-2?not_recommended_start=0","False","Sia F.",2,"2014-07-09","You know how you keep hearing about some movie, and expect it to knock your socks off because of how much everyone's been gushing about it, and then you see it and you're left underwhelmed and confused and maybe a little bit sad? Yeah, that was pretty much my experience with Harvest. I got a duck burger, and my friend got a pizza, and neither amounted to much food relative to the cost. The duck burger was a wonderful surprise, but I ate it all in three or four bites, and when I tried the pizza, I felt like it was TOTALLY overrated. Seriously, I was expecting some flavor-profile-bliss from the way people go on and on about this, but it was meh to me. So I literally left hungry, poorer, and underwhelmed. Best thing I can say is that the decor was charming and the other diners seemed at ease and in love with life, just happy to be there. Might be a lovely spot to get coffee or a glass of wine/cocktail.","
Columbus, OH
",0,2,912
"Harvest Bar + Kitchen","https://www.yelp.com/not_recommended_reviews/harvest-bar-kitchen-columbus-2?not_recommended_start=0","False","Sabra H.",3,"2024-02-27","I have enjoyed the fennel sausage pizza many times, but this time , not so much. I tried the pretzel, not bad!","
Columbus, OH
",0,5,110
"Harvest Bar + Kitchen","https://www.yelp.com/not_recommended_reviews/harvest-bar-kitchen-columbus-2?not_recommended_start=0","False","James B.",3,"2024-01-17","The pizza is pretty good but I went here for lunch on a not busy Monday recently and it took two hours! After we ordered we waited 40 minutes to receive part of our food and the appetizer came after the meal. Hoping that it was a fluke!","
OH, OH
",0,5,236
"Harvest Bar + Kitchen","https://www.yelp.com/not_recommended_reviews/harvest-bar-kitchen-columbus-2?not_recommended_start=0","False","T. R.",3,"2018-03-13","The garlic pizza is very good and the hamburgers are very good too","
Columbus, OH
",1,4,66
"Harvest Bar + Kitchen","https://www.yelp.com/not_recommended_reviews/harvest-bar-kitchen-columbus-2?not_recommended_start=0","False","Bill D.",4,"2023-12-05","It's a nice place, but pretty loud. It was hard to hear the person across the table from me. I like that they use ingredients in their pizza a lot, but I can't say that the taste of the pizza evoked any awe in me. It is a thin crust though and I kind of prefer it thicker. All in all, nice joint and worth checking out.","
OH, OH
",0,7,319
"Harvest Bar + Kitchen","https://www.yelp.com/not_recommended_reviews/harvest-bar-kitchen-columbus-2?not_recommended_start=0","False","Magdala P.",4,"2023-03-12","All American BurgerThey have some good burgers and they know how to make them. I love it","
Columbus, OH
",0,1,88
"Pat and Gracie’s","https://www.yelp.com/not_recommended_reviews/pat-and-gracies-columbus?not_recommended_start=0","False","Farah A.",1,"2024-02-07","TRASH ASS PLACE! They don't clean the place at all. It is a gross place. Wouldn't recommend to my worst enemy.","
Columbus, OH
",0,2,110
"Pat and Gracie’s","https://www.yelp.com/not_recommended_reviews/pat-and-gracies-columbus?not_recommended_start=0","False","Chris R.",1,"2018-02-14","I visited the downtown location last week for lunch with a friend. We both had salads that were fresh and tasty. The service was friendly and attentive. I drank soda water and my dining companion drank water. When we received the bill there was a charge for Sprite on the check. When we inquired about the charge the server stated that the owner charges for the CO2 in the soda water! Excuse me?! First, she might have told me that before hand. Second, are you kidding me?! No restaurant in the world charges for CO2. Not to mention $2.60 for it. They make plenty of money charging $2.60 for people that actually drink pop!! You might as will charge people for using toilet paper when they use the restroom. Even Wendy's doesn't charge you for a paper cup and the water in it when you're eating in their restaurant. This is just the cost of doing business. I want to like this place but cannot support a business that enlists this practice. Bad form, restaurant owner, bad form!!","
Westerville, OH
",0,1,979
"Pat and Gracie’s","https://www.yelp.com/not_recommended_reviews/pat-and-gracies-columbus?not_recommended_start=0","False","Phillip M.",1,"2016-08-23","I walk in and the waiter seats me and just leaves me there then another few customers walk in and he asks them for a drink before asking me, even though I walked I first and he is the one who sat me.","
Columbus, OH
",132,5,199
"Pat and Gracie’s","https://www.yelp.com/not_recommended_reviews/pat-and-gracies-columbus?not_recommended_start=0","False","Ken L.",2,"2023-01-06","Food so soService slowHad fish so - soWould not go again To many other choices in city","
Proctorville, OH
",516,45,86
"Pat and Gracie’s","https://www.yelp.com/not_recommended_reviews/pat-and-gracies-columbus?not_recommended_start=0","False","Carolyn T.",2,"2019-07-29","My co-worker and I ordered from here on Friday on Postmates. We both got the soup and salad. They don't tell you what kind of soup it is, but we figured we like most soups so we'd give it a try. The salad was great, but the soup was not good. It looked like sausage gravy but tasted terrible. Don't order the soup and salad without finding out what kind of soup you're getting.","
Lancaster, OH
",4,2,377
"Pat and Gracie’s","https://www.yelp.com/not_recommended_reviews/pat-and-gracies-columbus?not_recommended_start=0","False","Harold S.",4,"2023-12-25","Been here a few times. Great place for a quick bite. Really good dishes, but with limited choices. Good upscale pub food. Great beer selection. Very friendly service. Highly recommended for a neighborhood go-to spot.","
OH, OH
",0,6,216
"Pat and Gracie’s","https://www.yelp.com/not_recommended_reviews/pat-and-gracies-columbus?not_recommended_start=0","False","Will K.",4,"2020-01-19","Loved the flavor and the atmosphere! Definitely will come again and again!","
Columbus, OH
",5,7,74
"Pat and Gracie’s","https://www.yelp.com/not_recommended_reviews/pat-and-gracies-columbus?not_recommended_start=0","False","Rl F.",4,"2019-08-29","Great food. Definitely will go back. Wish there were more locations offered throughout the city.","
Westerville, OH
",0,5,96
"Pat and Gracie’s","https://www.yelp.com/not_recommended_reviews/pat-and-gracies-columbus?not_recommended_start=0","False","Mary Lynn G.",4,"2016-12-02","Great little spot if you're in the mood for a burger. Very friendly service.","
Columbus, OH
",18,4,76
"Pat and Gracie’s","https://www.yelp.com/not_recommended_reviews/pat-and-gracies-columbus?not_recommended_start=0","False","M F.",4,"2016-08-30","Was addicted from my first visit. Their fresh cut fries with the table vinegar they created is a major addiction. Their wings are meaty, best ever! Queso and salsa so good. Just cannot say enough about the food. Would like to see them add an Italian Sub to the menu and please get Fireball Whiskey in stock :)","
Columbus, OH
",0,6,309
"Brassica","https://www.yelp.com/not_recommended_reviews/brassica-columbus?not_recommended_start=0","False","Kimberly S.",1,"2021-07-09","The chicken was very nasty and they wouldn't give me my money back","
SoMa, San Francisco, CA
",0,4,66
"Brassica","https://www.yelp.com/not_recommended_reviews/brassica-columbus?not_recommended_start=0","False","Journei A.",1,"2016-04-28","all i have to say is this food is horrid","
Reynoldsburg, OH
",0,4,40
"Brassica","https://www.yelp.com/not_recommended_reviews/brassica-columbus?not_recommended_start=0","False","Ann P.",2,"2022-07-29","Very expensive -- not worth the cost. Food is okay, not great.  Wish it could be better!","
Columbus, OH
",0,46,88
"Brassica","https://www.yelp.com/not_recommended_reviews/brassica-columbus?not_recommended_start=0","False","Raniad D.",2,"2020-01-31","I tried it once actually but it doesn't seem authentic and at the same time the prices are a bit high for the amount of food.","
Dublin, OH
",0,5,125
"Brassica","https://www.yelp.com/not_recommended_reviews/brassica-columbus?not_recommended_start=0","False","Laura C.",2,"2017-03-08","Not a big fan. I went two times and both times some of the ingredients either were too salty or had no flavor.","
Upper East Side, Manhattan, NY
",93,25,110
"Brassica","https://www.yelp.com/not_recommended_reviews/brassica-columbus?not_recommended_start=0","False","William H.",2,"2015-11-16","I myself was not impressed, the food is way too pricey and the portions are way too small. There were two of us and the total was $32.plus some change. That was for two pita sandwiches with the stuff on top of it two orders of small fries and two fountain drinks. Hell, I could've went to Lyndys on happy hour and had three appetizers and walked away with a nice buzz for $32. Again, this is just one man's opinio... Thanks for lunch Mo-Shine","
Columbus, OH
",2,3,442
"Brassica","https://www.yelp.com/not_recommended_reviews/brassica-columbus?not_recommended_start=0","False","Anthony S.",3,"2024-01-23","Fairly over rated in my opinion. This is a hipster is Chipotle style 'Greek' joint where you pick a bowl or pita then have it filled with whatever down the line! Nothing was too impressive,","
OH, OH
",1,6,189
"Brassica","https://www.yelp.com/not_recommended_reviews/brassica-columbus?not_recommended_start=0","False","Whitney W.",3,"2022-09-18","Good food - expensive! Cheaper and on par quality wise to be waited on or simply hit up Chipotle.","
Columbus, OH
",0,2,97
"Brassica","https://www.yelp.com/not_recommended_reviews/brassica-columbus?not_recommended_start=0","False","Manny K.",3,"2022-07-24","It's not my favorite food but my wife and kids like it but I do like the fries . Nice","
Worthington Place, Worthington, OH
",0,8,85
"Brassica","https://www.yelp.com/not_recommended_reviews/brassica-columbus?not_recommended_start=0","False","Bambi L.",3,"2021-09-19","The food was ok. The taste was a bit off but Ill try it again","
Bexley, OH
",0,2,61
"Scotty’s Cafe","https://www.yelp.com/not_recommended_reviews/scottys-cafe-columbus-2?not_recommended_start=0","False","David N.",1,"2015-08-20","If you like to be over charged then this is the place for you!","
Columbus, OH
",0,3,62
"Scotty’s Cafe","https://www.yelp.com/not_recommended_reviews/scottys-cafe-columbus-2?not_recommended_start=0","False","Joe F.",3,"2016-09-25","I love the food and service here! I travel to Columbus every other week for work, and this cafe is a must stop for breakfast. Only reason I don't come more often is because they do not offer itemized or emailed receipts that I can submit for my expense account. Not sure how they keep track of all those sales during the day with so many customers scribbling everything on paper. They did a great job of overhauling the seating area though. Its great to see they are making some nice investments. Hopefully they will catch up with the computers too!","
Chicago, IL
",0,3,549
"Scotty’s Cafe","https://www.yelp.com/not_recommended_reviews/scottys-cafe-columbus-2?not_recommended_start=0","False","Steve P.",4,"2023-12-25","I had roast beef melt, Mac and cheese macaroni salad! Everything was made in house, big portions, quality ingredients. Macaroni salad was too dry, not enough flavor, not a fan. Roast beef melt tasted great but too dry and no available jus or sauce. Macaroni and cheese was excellent. Great service, fast service.","
OH, OH
",0,5,312
"Scotty’s Cafe","https://www.yelp.com/not_recommended_reviews/scottys-cafe-columbus-2?not_recommended_start=0","False","Jamie G.",4,"2023-12-12","Service was exceptional and the French toast was as advertised! The rest of the meal was just OK, but this place has some characters that work and eat here and there is an obvious crowd that loves this place so give it a shot. The guy I assume to be Scotty is out front making people laugh and that's why the rating is so high, in my humble opinion.","
Mount Liberty, OH
",1,3,349
"Scotty’s Cafe","https://www.yelp.com/not_recommended_reviews/scottys-cafe-columbus-2?not_recommended_start=0","False","Johnny T.",4,"2023-09-19","First time here loved this place the staff was so amazing friendly attentive kind helpful such a wonderful little restaurant the owners came out socialize with restaurant patrons the food was made with love and very fresh ingredients! Definitely will be coming back highly recommend this restaurant establishment","
Columbus, OH
",0,5,312
"Scotty’s Cafe","https://www.yelp.com/not_recommended_reviews/scottys-cafe-columbus-2?not_recommended_start=0","False","Andy M.",4,"2022-05-12","One of the best diners in Cbus. Good service and great food. Don't miss the homemade desserts.","
OH, OH
",0,2,94
"Scotty’s Cafe","https://www.yelp.com/not_recommended_reviews/scottys-cafe-columbus-2?not_recommended_start=0","False","Jerry S.",4,"2019-03-20","I enjoy Scott's menu. I come here with my Aunt and the business is always great","
Gahanna, OH
",0,3,79
"Scotty’s Cafe","https://www.yelp.com/not_recommended_reviews/scottys-cafe-columbus-2?not_recommended_start=0","False","Joy G.",5,"2024-02-15","We ordered a variety of sandwiches and tomato basil soup for an event we were hosting. Working with Scotty's Catering staff was an easy and pleasant experience. They delivered, on time, to the event space. The food presentation was very professional, the quality -- fresh; the taste -- delicious! We were delighted to serve the casual dinner choices to our guests. The event was important to us and Scotty's Catering came through 100%!","
Somerville, MA
",0,1,435
"Scotty’s Cafe","https://www.yelp.com/not_recommended_reviews/scottys-cafe-columbus-2?not_recommended_start=0","False","rjsryjryjryjryj h.",5,"2024-01-30","10/10 would recommend to the after life if i could i want to be buried with this store PLEASE","
Columbus, OH
",0,7,93
"Scotty’s Cafe","https://www.yelp.com/not_recommended_reviews/scottys-cafe-columbus-2?not_recommended_start=0","False","Bella",5,"2024-01-30","The food was amazing here i might have to start bringing my tinders dates here and put everyone onto the goodness","
University District, Columbus, OH
",0,4,113
"Arch City Tavern","https://www.yelp.com/not_recommended_reviews/arch-city-tavern-columbus-3?not_recommended_start=0","False","Bobby R.",2,"2015-04-27","Wanted to review this place the last time I went about a month ago:I've been here in the past with friends and it's been a blast, in fact I hit it off with my girlfriend there so it has a place in my heart, but my last experience soured me to the point where I won't go back. I went in with some friends for work at about 12:30am, and when we ordered our drinks our server brought us the wrong drink on three separate occasions. She was genuinely flustered, but was such a sweetheart we didn't mind too much. At about 2, a half hour before close, they did a last call. I received my drink at 2:10am, to which their manager told me I only had a minute to drink my full drink. I work in the industry, and I know with hours until 2:30 and legal laws saying I have until 2:30 to finish my drink, I was put off by this. He then sat at my table and made me chug my drink 20 minutes before close, which seriously pissed me off. The management staff has serious issues, and for that reason I will never be giving my money to them again.","
Worthington, Columbus, OH
",1,5,1028
"Arch City Tavern","https://www.yelp.com/not_recommended_reviews/arch-city-tavern-columbus-3?not_recommended_start=0","False","Harold S.",4,"2023-12-07","Parking probably not optimal but let me tell you. I had the bison burger med rare and it was incredible. The house chips on the side are the best house chips I've ever had. Want a good burger and atmosphere check this place out.","
OH, OH
",0,6,228
"Arch City Tavern","https://www.yelp.com/not_recommended_reviews/arch-city-tavern-columbus-3?not_recommended_start=0","False","Rodeny B.",4,"2023-11-28","Great place for a burger. I also like the complements for sides. The service was not as high as I would have expected and saw with other servers. But overall a decent night out.","
Columbus, OH
",0,9,177
"Arch City Tavern","https://www.yelp.com/not_recommended_reviews/arch-city-tavern-columbus-3?not_recommended_start=0","False","Jeff L.",4,"2023-02-21","Great place great food .. must try it Clean, good food, quality service and food Most awesome burger you can find in the area !!!","
Ashtabula, OH
",0,3,129
"Arch City Tavern","https://www.yelp.com/not_recommended_reviews/arch-city-tavern-columbus-3?not_recommended_start=0","False","Pat K.",4,"2022-12-05","Great food in a great location. Drink menu was somewhat lackluster, but the service definitely made up for it!","
Columbus, OH
",0,4,110
"Arch City Tavern","https://www.yelp.com/not_recommended_reviews/arch-city-tavern-columbus-3?not_recommended_start=0","False","Stacy W.",4,"2021-08-28","Decent experience. Was not impressed enough for a five star experience. Overall, alright.","
Boca Raton, FL
",3,453,89
"Arch City Tavern","https://www.yelp.com/not_recommended_reviews/arch-city-tavern-columbus-3?not_recommended_start=0","False","Ron R.",4,"2019-07-29","Great food, except for the salad. Burgers were very tasty, pizzas had a lot of flavor","
Midtown East, Manhattan, NY
",43,16,85
"Arch City Tavern","https://www.yelp.com/not_recommended_reviews/arch-city-tavern-columbus-3?not_recommended_start=0","False","Eliza L.",4,"2017-12-13","The bartender at this restaurant is awesome.. For the life of me I can't remember her name which I wish I could have gotten cause she was so sweet and talkative. Maybe it was Ashley. Anyways, their Monday burger special is the best, I suggest that you anyone and the pumpkin mule is amazing!","
Columbus, OH
",0,7,291
"Arch City Tavern","https://www.yelp.com/not_recommended_reviews/arch-city-tavern-columbus-3?not_recommended_start=0","False","Walter K.",4,"2017-09-11","Lobster Mac was a hangover saver!","
Bethany, OK
",1,3,33
"Arch City Tavern","https://www.yelp.com/not_recommended_reviews/arch-city-tavern-columbus-3?not_recommended_start=0","False","Anna L.",4,"2017-07-19","Love this place! Great open frontage to street on a nice evening, food is fab. Service can be a bit slow when it's busy, but no horrible. Get the burgeres!","
Powell, OH
",0,3,155
"Tiger + Lily","https://www.yelp.com/not_recommended_reviews/tiger-lily-columbus?not_recommended_start=0","False","Elizabeth J.",2,"2017-07-10","Came here for lunch as a party of three. I ordered a ramen with an added soft-boiled egg. We waited 45 minutes for our food to come out, though mine did not make it out even then. We asked (nicely) our waitress and someone who appeared to be a manager about the status of my meal, and received a hurried and unapologetic ""sorry"" (from the waitress) and a ""it's cray cray for a Monday"" (from the manager). While I did not expect a discount (which I did not get), I did expect an actual apology (which I also did not get). My ramen came out 55 minutes into our stay (in a to-go box, as requested at that point), and did not include the egg. Requests for water were ignored or forgotten. Left hungry and shaking my head at how terrible the service was.","
Chicago, IL
",0,2,749
"Tiger + Lily","https://www.yelp.com/not_recommended_reviews/tiger-lily-columbus?not_recommended_start=0","False","Harold S.",3,"2023-12-25","First time I went there thought it will be good! The noodle soup I ordered was a big disappointment. it wasn't good. and the server not even bothered to ask me if I liked it or not. I payed for it and left it. Another thing is the Boba tea has a lot ice that make the tea lost the flavor. Not worth the price.","
OH, OH
",0,6,309
"Tiger + Lily","https://www.yelp.com/not_recommended_reviews/tiger-lily-columbus?not_recommended_start=0","False","Jen T.",3,"2019-11-20","Looks much better than it tastes. A lot more pricey then it should be. Staff was very friendly tho.","
Austin, TX
",176,27,99
"Tiger + Lily","https://www.yelp.com/not_recommended_reviews/tiger-lily-columbus?not_recommended_start=0","False","Toni L.",3,"2018-11-20","Good food and a clean, modern dining area. But way overpriced for a downtown lunch.","
East Columbus, Columbus, OH
",0,4,83
"Tiger + Lily","https://www.yelp.com/not_recommended_reviews/tiger-lily-columbus?not_recommended_start=0","False","Evan F.",3,"2018-03-01","Just feel it so not worth it, price and ingredient, taste is just ok, too expensive .","
Artesia, CA
",0,13,85
"Tiger + Lily","https://www.yelp.com/not_recommended_reviews/tiger-lily-columbus?not_recommended_start=0","False","Philip H.",4,"2022-03-25","An understated dining room contrasts a very dedicated wait staff. Tiger & Lily has door dash/ take-out vibes but does not slack on their plated dishes. The crispy dumpling appetizer was pretty standard, but the curry ramen bowl had a variety of flavors and really presented us with the essence of their food mission. My hot date was underwhelmed by her chicken katsu. A little too heavy on the panko and more vegetable filler than main attraction. Would definitely go again and do a deeper dive of the menu. Low on pomp, but worth the chomp. 4 stars.","
PA, PA
",0,2,550
"Tiger + Lily","https://www.yelp.com/not_recommended_reviews/tiger-lily-columbus?not_recommended_start=0","False","Nick B.",4,"2018-10-24","Good food. Will need to go back to try other menu items. Good place for lunch or a quick dinner. Many options.","
Columbus, OH
",0,105,110
"Tiger + Lily","https://www.yelp.com/not_recommended_reviews/tiger-lily-columbus?not_recommended_start=0","False","Michael D.",4,"2018-09-14","Food was outstanding. I got the signature Tiger Ramen and a Macha Latte w/bubbles. Loved it. I asked for extra spice and the chili oil the server brought was just the thing. Only complaint is that we were there for lunch, and it took nearly 35 minutes for our food to come out. We were there for 90 minutes total. I have the luxury of taking long lunches but some may not.","
Columbus, OH
",440,2,372
"Tiger + Lily","https://www.yelp.com/not_recommended_reviews/tiger-lily-columbus?not_recommended_start=0","False","Nathaniel B.",5,"2023-10-30","Had an awesome lunch and the staff was so attentive! I had the lemongrass chicken bowl, it was delicious, the chicken had wonderful flavor and was cooked perfectly. All the veggies in the bowl were so fresh and complimented the dish perfectly. I had the Chinese og waffle for dessert, so yummy and just the right amount of sweet!","
Uptown District, Columbus, OH
",0,1,329
"Tiger + Lily","https://www.yelp.com/not_recommended_reviews/tiger-lily-columbus?not_recommended_start=0","False","Mark R.",5,"2023-09-02","excellent food, service and prices. I highly recommend this place!","
Fort Wayne, IN
",0,2,66
